route_id,service_id,trip_id,trip_headsign,shape_id,direction_id
40090012,22359,16638481,E.A.C. DHEKELIA,40090012,1
40120012,22359,16638482,STROVILIA,40120012,1
40120012,22359,16638483,STROVILIA,40120012,1
40110012,22359,16638484,XYLOTYMPOU,40110012,1
40100012,22359,16638485,DASAKI ACHNAS,40100012,1
40150011,22359,16638486,LARNAKA,40150011,0
40150012,22359,16638487,CENTRAL BUS ST.,40150012,1
40080012,22359,16638488,E.A.C. DHEKELIA,40080012,1
40000011,22359,16638489,PARALIMNI,40000011,0
40010011,22359,16638490,AG. NAPA (W/PARK),40010011,0
40040011,22359,16638491,DERYNEIA,40040011,0
40040011,22359,16638492,DERYNEIA,40040011,0
40090012,22359,16638493,E.A.C. DHEKELIA,40090012,1
40220011,22359,16638494,EAST CIRCLE LINE,40220011,0
40160011,22359,16638495,LARNAKA,40160011,0
40160012,22359,16638496,PARALIMNI SQ. BUS,40160012,1
40100012,22359,16638497,DASAKI ACHNAS,40100012,1
40000011,22359,16638498,PARALIMNI,40000011,0
40050011,22359,16638499,DERYNEIA,40050011,0
40010011,22359,16638500,AG. NAPA (W/PARK),40010011,0
40130012,22359,16638501,STROVILIA,40130012,1
40150012,22359,16638502,CENTRAL BUS ST.,40150012,1
40170011,22359,16638503,LARNAKA,40170011,0
40170012,22359,16638504,PARALIMNI,40170012,1
40170012,22359,16638505,PARALIMNI,40170012,1
40010011,22359,16638506,AG. NAPA (W/PARK),40010011,0
40000011,22359,16638507,PARALIMNI,40000011,0
40160012,22359,16638508,PARALIMNI SQ. BUS,40160012,1
40010011,22359,16638509,AG. NAPA (W/PARK),40010011,0
40150011,22359,16638510,LARNAKA,40150011,0
40150012,22359,16638511,CENTRAL BUS ST.,40150012,1
40000011,22359,16638512,PARALIMNI,40000011,0
40050011,22359,16638513,DERYNEIA,40050011,0
40150012,22359,16638514,CENTRAL BUS ST.,40150012,1
40010011,22359,16638515,AG. NAPA (W/PARK),40010011,0
40000011,22359,16638516,PARALIMNI,40000011,0
40100012,22359,16638517,DASAKI ACHNAS,40100012,1
40130012,22359,16638518,STROVILIA,40130012,1
40140011,22359,16638519,AGIA NAPA,40140011,0
40130011,22359,16638520,AGIA NAPA,40130011,0
40130012,22359,16638521,STROVILIA,40130012,1
40130011,22359,16638522,AGIA NAPA,40130011,0
40130012,22359,16638523,STROVILIA,40130012,1
40000011,22359,16638524,PARALIMNI,40000011,0
40100011,22359,16638525,AGIA NAPA,40100011,0
40100012,22359,16638526,DASAKI ACHNAS,40100012,1
40100011,22359,16638527,AGIA NAPA,40100011,0
40100012,22359,16638528,DASAKI ACHNAS,40100012,1
40110011,22359,16638529,KONNOS,40110011,0
40110012,22359,16638530,XYLOTYMPOU,40110012,1
40000011,22359,16638531,PARALIMNI,40000011,0
40000011,22359,16638532,PARALIMNI,40000011,0
